Sample_name,Tree_host,Tree_log,Year,Year_since_decay_start,Site,Decay_status
2012_PB10,red_pine,pine_10,2012,2,Ground_nobark,decayed
2012_PC1,red_pine,pine_01,2012,2,Hanging_on_pine,decayed
2012_PC2,red_pine,pine_02,2012,2,Hanging_on_pine,decayed
2012_PC3,red_pine,pine_03,2012,2,Hanging_on_pine,decayed
2012_PC4,red_pine,pine_04,2012,2,Hanging_on_pine,decayed
2012_PC5,red_pine,pine_05,2012,2,Hanging_on_pine,decayed
2012_PC6,red_pine,pine_06,2012,2,Hanging_on_pine,decayed
2012_PC7,red_pine,pine_07,2012,2,Hanging_on_pine,decayed
2012_PC8,red_pine,pine_08,2012,2,Hanging_on_pine,decayed
2012_PC9,red_pine,pine_09,2012,2,Hanging_on_pine,decayed
2012_PC10,red_pine,pine_10,2012,2,Hanging_on_pine,decayed
2012_PD1,red_pine,pine_01,2012,2,Hanging_on_birch,decayed
2012_PD2,red_pine,pine_02,2012,2,Hanging_on_birch,decayed
2012_PD3,red_pine,pine_03,2012,2,Hanging_on_birch,decayed
2012_PD4,red_pine,pine_04,2012,2,Hanging_on_birch,decayed
2012_PD5,red_pine,pine_05,2012,2,Hanging_on_birch,decayed
2012_PD6,red_pine,pine_06,2012,2,Hanging_on_birch,decayed
2012_PD7,red_pine,pine_07,2012,2,Hanging_on_birch,decayed
2012_PD8,red_pine,pine_08,2012,2,Hanging_on_birch,decayed
2012_PD9,red_pine,pine_09,2012,2,Hanging_on_birch,decayed
2012_PD10,red_pine,pine_10,2012,2,Hanging_on_birch,decayed
2013_BA1,paper_birch,birch_01,2013,3,Ground_bark,decayed
2013_BA2,paper_birch,birch_02,2013,3,Ground_bark,decayed
2013_BA3,paper_birch,birch_03,2013,3,Ground_bark,decayed
2013_BA4,paper_birch,birch_04,2013,3,Ground_bark,decayed
2013_BA5,paper_birch,birch_05,2013,3,Ground_bark,decayed
2013_BA6,paper_birch,birch_06,2013,3,Ground_bark,decayed
2013_BA7,paper_birch,birch_07,2013,3,Ground_bark,decayed
2013_BA8,paper_birch,birch_08,2013,3,Ground_bark,decayed
2013_BA9,paper_birch,birch_09,2013,3,Ground_bark,decayed
2013_BA10,paper_birch,birch_10,2013,3,Ground_bark,decayed
2013_BB1,paper_birch,birch_01,2013,3,Ground_nobark,decayed
2013_BB2,paper_birch,birch_02,2013,3,Ground_nobark,decayed
2013_BB3,paper_birch,birch_03,2013,3,Ground_nobark,decayed
2013_BB4,paper_birch,birch_04,2013,3,Ground_nobark,decayed
2013_BB5,paper_birch,birch_05,2013,3,Ground_nobark,decayed
2013_BB6,paper_birch,birch_06,2013,3,Ground_nobark,decayed
2013_BB7,paper_birch,birch_07,2013,3,Ground_nobark,decayed
2013_BB8,paper_birch,birch_08,2013,3,Ground_nobark,decayed
2013_BB9,paper_birch,birch_09,2013,3,Ground_nobark,decayed
2013_BB10,paper_birch,birch_10,2013,3,Ground_nobark,decayed
2013_BC1,paper_birch,birch_01,2013,3,Hanging_on_pine,decayed
2013_BC2,paper_birch,birch_02,2013,3,Hanging_on_pine,decayed
2013_BC3,paper_birch,birch_03,2013,3,Hanging_on_pine,decayed
2013_BC4,paper_birch,birch_04,2013,3,Hanging_on_pine,decayed
2013_BC5,paper_birch,birch_05,2013,3,Hanging_on_pine,decayed
2013_BC6,paper_birch,birch_06,2013,3,Hanging_on_pine,decayed
2013_BC7,paper_birch,birch_07,2013,3,Hanging_on_pine,decayed
2013_BC8,paper_birch,birch_08,2013,3,Hanging_on_pine,decayed
2013_BC9,paper_birch,birch_09,2013,3,Hanging_on_pine,decayed
2013_BC10,paper_birch,birch_10,2013,3,Hanging_on_pine,decayed
2013_BD1,paper_birch,birch_01,2013,3,Hanging_on_birch,decayed
2013_BD2,paper_birch,birch_02,2013,3,Hanging_on_birch,decayed
2013_BD3,paper_birch,birch_03,2013,3,Hanging_on_birch,decayed
2013_BD4,paper_birch,birch_04,2013,3,Hanging_on_birch,decayed
2013_BD5,paper_birch,birch_05,2013,3,Hanging_on_birch,decayed
2013_BD6,paper_birch,birch_06,2013,3,Hanging_on_birch,decayed
2013_BD7,paper_birch,birch_07,2013,3,Hanging_on_birch,decayed
2013_BD8,paper_birch,birch_08,2013,3,Hanging_on_birch,decayed
2013_BD9,paper_birch,birch_09,2013,3,Hanging_on_birch,decayed
2013_BD10,paper_birch,birch_10,2013,3,Hanging_on_birch,decayed
2013_PA1,red_pine,pine_01,2013,3,Ground_bark,decayed
2013_PA2,red_pine,pine_02,2013,3,Ground_bark,decayed
2013_PA3,red_pine,pine_03,2013,3,Ground_bark,decayed
2013_PA4,red_pine,pine_04,2013,3,Ground_bark,decayed
2013_PA5,red_pine,pine_05,2013,3,Ground_bark,decayed
2013_PA6,red_pine,pine_06,2013,3,Ground_bark,decayed
2013_PA7,red_pine,pine_07,2013,3,Ground_bark,decayed
2013_PA8,red_pine,pine_08,2013,3,Ground_bark,decayed
2013_PA9,red_pine,pine_09,2013,3,Ground_bark,decayed
2013_PA10,red_pine,pine_10,2013,3,Ground_bark,decayed
2013_PB1,red_pine,pine_01,2013,3,Ground_nobark,decayed
2013_PB2,red_pine,pine_02,2013,3,Ground_nobark,decayed
2013_PB3,red_pine,pine_03,2013,3,Ground_nobark,decayed
2013_PB4,red_pine,pine_04,2013,3,Ground_nobark,decayed
2013_PB5,red_pine,pine_05,2013,3,Ground_nobark,decayed
2013_PB6,red_pine,pine_06,2013,3,Ground_nobark,decayed
2013_PB7,red_pine,pine_07,2013,3,Ground_nobark,decayed
2013_PB8,red_pine,pine_08,2013,3,Ground_nobark,decayed
2013_PB9,red_pine,pine_09,2013,3,Ground_nobark,decayed
2013_PB10,red_pine,pine_10,2013,3,Ground_nobark,decayed
2013_PC1,red_pine,pine_01,2013,3,Hanging_on_pine,decayed
2013_PC2,red_pine,pine_02,2013,3,Hanging_on_pine,decayed
2013_PC3,red_pine,pine_03,2013,3,Hanging_on_pine,decayed
2013_PC4,red_pine,pine_04,2013,3,Hanging_on_pine,decayed
2013_PC5,red_pine,pine_05,2013,3,Hanging_on_pine,decayed
2013_PC6,red_pine,pine_06,2013,3,Hanging_on_pine,decayed
2013_PC7,red_pine,pine_07,2013,3,Hanging_on_pine,decayed
2013_PC8,red_pine,pine_08,2013,3,Hanging_on_pine,decayed
2013_PC9,red_pine,pine_09,2013,3,Hanging_on_pine,decayed
2013_PC10,red_pine,pine_10,2013,3,Hanging_on_pine,decayed
2013_PD1,red_pine,pine_01,2013,3,Hanging_on_birch,decayed
2013_PD2,red_pine,pine_02,2013,3,Hanging_on_birch,decayed
2013_PD3,red_pine,pine_03,2013,3,Hanging_on_birch,decayed
2013_PD4,red_pine,pine_04,2013,3,Hanging_on_birch,decayed
2013_PD5,red_pine,pine_05,2013,3,Hanging_on_birch,decayed
2013_PD6,red_pine,pine_06,2013,3,Hanging_on_birch,decayed
